Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY P observer1)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),0,0.1068,14,85.96,0.29,1
p(observer1)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),0.66,0.0767,10,95.55,-2.5,1
p(SURVEY P observer1)psi(disturb500 P forest100 P ndvi100 P und P water P ele),0.7,0.0754,14,86.66,-0.26,1
p(observer1)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),0.72,0.0746,10,95.6,1.32,1
p(observer1)psi(disturb100 P forest100 P ndvi100 P und P water P ele),0.84,0.0703,10,95.72,-0.83,1
p(observer1)psi(disturb500 P forest100 P ndvi100 P und P water P ele),0.91,0.0679,10,95.79,-0.01,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),1.4,0.0531,14,87.36,0.83,1
p(observer1)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),1.61,0.0479,10,96.49,0.26,1
p(SURVEY P observer1)psi(disturb500 P forest500 P ndvi500 P und P water P ele),1.78,0.0439,14,87.74,2.26,1
p(observer1)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),1.8,0.0435,10,96.68,1.43,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),1.84,0.0426,14,87.8,-0.68,1
p(SURVEY P observer1)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),1.91,0.0411,14,87.87,2.04,1
p(SURVEY P observer1)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),2.36,0.0329,14,88.32,-1.86,1
p(observer1)psi(disturb500 P forest500 P ndvi100 P und P water P ele),2.75,0.027,10,97.64,-3.36,1
p(SURVEY P observer1)psi(disturb500 P forest100 P ndvi500 P und P water P ele),3.09,0.0227,14,89.05,0.11,1
p(observer1)psi(disturb100 P forest500 P ndvi500 P und P water P ele),3.33,0.0202,10,98.22,0,1
p(observer1)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),3.36,0.0199,10,98.25,0.84,1
p(observer1)psi(disturb500 P forest100 P ndvi500 P und P water P ele),3.43,0.0192,10,98.32,-0.8,0
p(SURVEY P observer1)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),3.56,0.018,14,89.52,0.83,1
p(observer1)psi(disturb100 P forest100 P ndvi500 P und P water P ele),3.57,0.0179,10,98.46,0.47,1
p(SURVEY P observer1)psi(disturb100 P forest500 P ndvi500 P und P water P ele),3.77,0.0162,14,89.73,0,1
p(observer1)psi(disturb500 P forest500 P ndvi500 P und P water P ele),3.84,0.0156,10,98.73,-0.84,1
p(observer1)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),4.69,0.0102,10,99.58,0.78,1
p(observer1)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),5.17,0.0081,10,100.05,1.32,1
p(SURVEY P observer1)psi(disturb100 P forest100 P ndvi100 P und P water P ele),5.21,0.0079,14,91.17,1.26,1
p(SURVEY P observer1)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),6.36,0.0044,14,92.32,0,1
p(SURVEY P observer1)psi(disturb100 P forest100 P ndvi500 P und P water P ele),6.43,0.0043,14,92.39,5.66,1
p(SURVEY P observer1)psi(disturb500 P forest500 P ndvi100 P und P water P ele),6.52,0.0041,14,92.48,0.71,1
p(observer1)psi(disturb100 P forest500 P ndvi100 P und P water P ele),7.34,0.0027,10,102.23,0.4,1
p(SURVEY P observer1)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),8.03,0.0019,14,93.99,1.68,1
p(SURVEY P observer1)psi(disturb100 P forest500 P ndvi100 P und P water P ele),8.32,0.0017,14,94.28,1.01,1
p(observer1)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),8.6,0.0014,10,103.49,0,1
