Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p()psi(disturb500 P forest500 P ndvi500 P und P water P ele),0,0.1887,8,291.18,5.62,1
p()psi(disturb100 P forest1000 P ndvi500 P und P water P ele),1.82,0.0759,8,293,0,1
p()psi(disturb100 P forest100 P ndvi500 P und P water P ele),2.72,0.0485,8,293.9,0,1
p()psi(disturb500 P forest100 P ndvi100 P und P water P ele),2.9,0.0444,8,294.08,0,1
p()psi(disturb100 P forest1500 P ndvi100 P und P water P ele),2.9,0.0444,8,294.08,3.61,1
p()psi(disturb500 P forest1000 P ndvi100 P und P water P ele),2.9,0.0444,8,294.08,1.92,0
p()psi(disturb100 P forest100 P ndvi100 P und P water P ele),3.61,0.0311,8,294.79,0,1
p()psi(disturb500 P forest1500 P ndvi100 P und P water P ele),3.78,0.0285,8,294.96,0,1
p(start)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),3.89,0.0269,9,292.91,2.28,1
p(start)psi(disturb100 P forest100 P ndvi100 P und P water P ele),3.98,0.0258,9,293,3.84,1
p(cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),3.98,0.0258,9,293,5.27,1
p(start)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),4.16,0.0235,9,293.18,4.99,1
p()psi(disturb100 P forest500 P ndvi100 P und P water P ele),4.48,0.0201,8,295.67,4.52,1
p()psi(disturb100 P forest1000 P ndvi100 P und P water P ele),4.48,0.0201,8,295.67,0,1
p()psi(disturb500 P forest100 P ndvi500 P und P water P ele),4.48,0.0201,8,295.67,5.22,1
p()psi(disturb500 P forest1500 P ndvi500 P und P water P ele),4.48,0.0201,8,295.67,4.42,1
p()psi(disturb100 P forest500 P ndvi500 P und P water P ele),4.48,0.0201,8,295.67,5.34,1
p()psi(disturb500 P forest1000 P ndvi500 P und P water P ele),4.48,0.0201,8,295.67,0,1
p()psi(disturb500 P forest500 P ndvi100 P und P water P ele),4.66,0.0184,8,295.84,4.63,1
p(start)psi(disturb100 P forest100 P ndvi500 P und P water P ele),4.75,0.0175,9,293.77,4.22,1
p(cloudCover)psi(disturb100 P forest100 P ndvi100 P und P water P ele),4.84,0.0168,9,293.86,0,1
p(cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),4.88,0.0165,9,293.9,5.08,1
p(cloudCover)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),4.98,0.0156,9,294,3.93,1
p(start)psi(disturb500 P forest100 P ndvi100 P und P water P ele),5.02,0.0154,9,294.04,0,1
p(start)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),5.72,0.0108,9,294.74,5.07,1
p(cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),5.75,0.0107,9,294.77,4.5,1
p(cloudCover)psi(disturb500 P forest500 P ndvi100 P und P water P ele),5.83,0.0102,9,294.85,3.97,1
p(cloudCover)psi(disturb500 P forest100 P ndvi100 P und P water P ele),5.87,0.01,9,294.89,5.73,1
p(cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),5.9,0.0099,9,294.92,1.47,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),5.9,0.0099,9,294.92,0,1
p(start)psi(disturb500 P forest500 P ndvi100 P und P water P ele),5.91,0.0098,9,294.93,4.41,1
p(start)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),5.93,0.0097,9,294.95,5.1,1
p()psi(disturb100 P forest1500 P ndvi500 P und P water P ele),6.21,0.0084,8,297.4,2.01,1
p(start)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),6.53,0.0072,9,295.55,3.02,1
p(start)psi(disturb100 P forest500 P ndvi500 P und P water P ele),6.56,0.0071,9,295.58,3.74,1
p(cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele),6.59,0.007,9,295.61,1.79,1
p(start)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),6.6,0.007,9,295.62,-1.43,1
p(cloudCover)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),6.63,0.0069,9,295.65,0,1
p(start)psi(disturb100 P forest500 P ndvi100 P und P water P ele),6.63,0.0069,9,295.65,0,1
p(cloudCover)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),6.65,0.0068,9,295.67,0,1
p(start)psi(disturb500 P forest500 P ndvi500 P und P water P ele),6.79,0.0063,9,295.81,5.7,1
p(start)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),7.31,0.0049,9,296.33,4.85,1
p(cloudCover)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),7.49,0.0045,9,296.51,1.25,1
p(cloudCover)psi(disturb500 P forest100 P ndvi500 P und P water P ele),7.52,0.0044,9,296.54,3.37,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),7.61,0.0042,9,296.63,0,1
p(start)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),7.69,0.004,9,296.71,4.73,1
p(cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),8.51,0.0027,9,297.53,-0.04,1
p(start)psi(disturb500 P forest100 P ndvi500 P und P water P ele),8.84,0.0023,9,297.86,3.99,1
