Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),0,0.5011,10,131.56,1.87,0
p(start P cloudCover)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),4.29,0.0588,10,135.84,0,1
p(observer1 P start P cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),4.62,0.0497,12,131.76,3.51,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),4.76,0.0463,12,131.9,0.28,1
p(observer1 P start P cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),5.81,0.0275,12,132.94,0.32,1
p(start P cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),5.88,0.0265,10,137.44,0,1
p(start P cloudCover)psi(disturb100 P forest100 P ndvi100 P und P water P ele),5.9,0.0262,10,137.46,3.46,1
p(start P cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),6.1,0.0237,10,137.66,2.3,1
p(observer1 P start P cloudCover)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),6.1,0.0237,12,133.24,0,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),6.22,0.0224,12,133.35,2.92,1
p(start P cloudCover)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),6.23,0.0222,10,137.79,5.16,1
p(observer1 P start P cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),6.29,0.0215,12,133.43,1.61,1
p(observer1 P start P cloudCover)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),6.48,0.0197,12,133.61,4.24,1
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele),6.56,0.0189,12,133.69,0,1
p(start P cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),6.67,0.0178,10,138.23,0,1
p(observer1 P start P cloudCover)psi(disturb100 P forest100 P ndvi100 P und P water P ele),6.93,0.0157,12,134.06,3.35,1
p(start P cloudCover)psi(disturb500 P forest500 P ndvi100 P und P water P ele),7.89,0.0097,10,139.45,1.66,1
p(start P cloudCover)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),8.04,0.009,10,139.6,5.41,1
p(start P cloudCover)psi(disturb500 P forest100 P ndvi500 P und P water P ele),8.25,0.0081,10,139.81,4.6,1
p(observer1 P start P cloudCover)psi(disturb500 P forest100 P ndvi500 P und P water P ele),8.3,0.0079,12,135.43,5.63,1
p(start P cloudCover)psi(disturb500 P forest100 P ndvi100 P und P water P ele),8.3,0.0079,10,139.86,2.24,1
p(observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),8.48,0.0072,12,135.62,1.92,1
p(start P cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),8.8,0.0061,10,140.36,2.2,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),8.89,0.0059,12,136.02,1.67,1
p(observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi100 P und P water P ele),9.05,0.0054,12,136.18,0,1
p(start P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),9.67,0.004,10,141.23,4.16,1
p(start P cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele),10.18,0.0031,10,141.74,5.41,1
p(start P cloudCover)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),11.54,0.0016,10,143.1,5.85,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),12.66,9e-04,12,139.8,0.83,1
p(observer1 P start P cloudCover)psi(disturb500 P forest100 P ndvi100 P und P water P ele),13.74,5e-04,12,140.87,1.42,1
p(start P cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),13.89,5e-04,10,145.45,1.72,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),14.08,4e-04,12,141.21,0,1
