Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(observer1 P start P cloudCover)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),0,0.261,12,355.73,0,0
p(observer1 P start P cloudCover)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),0.038,0.256,12,355.77,0,0
p(observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),0.748,0.179,12,356.48,0,0
p(observer1 P start P cloudCover)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),0.955,0.162,12,356.68,0,0
p(observer1 P start P cloudCover)psi(disturb100 P forest100 P ndvi500 P und P water P ele),3.604,0.043,12,359.33,0,0
p(observer1 P start P cloudCover)psi(disturb500 P forest100 P ndvi500 P und P water P ele),3.726,0.04,12,359.45,0,0
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi500 P und P water P ele),4.308,0.03,12,360.04,0,0
p(observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi500 P und P water P ele),4.435,0.028,12,360.16,5.06,0
p(observer1 P start P cloudCover)psi(disturb100 P forest500 P ndvi100 P und P water P ele),34.725,0,12,390.45,2.92,1
p(observer1 P start P cloudCover)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),36.736,0,12,392.46,5.43,1
p(observer1 P start P cloudCover)psi(disturb100 P forest100 P ndvi100 P und P water P ele),37.882,0,12,393.61,1.31,1
p(observer1 P start P cloudCover)psi(disturb500 P forest500 P ndvi100 P und P water P ele),52.025,0,12,407.75,0.25,1
p(observer1 P start P cloudCover)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),52.749,0,12,408.48,-0.99,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),69.532,0,12,425.26,-1.43,1
p(observer1 P start P cloudCover)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),72.375,0,12,428.1,-1.65,1
p(observer1 P start P cloudCover)psi(disturb500 P forest100 P ndvi100 P und P water P ele),79.031,0,12,434.76,-0.79,1
