Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(start)psi(disturb100 P forest1500 P ndvi500 P und P water P ele),0,0.5178,9,375.11,5.22,1
p(start)psi(disturb500 P forest1500 P ndvi500 P und P water P ele),1.66,0.2253,9,376.77,2.62,1
p(start)psi(disturb100 P forest1000 P ndvi500 P und P water P ele),3.82,0.0767,9,378.92,3.46,1
p(start)psi(disturb500 P forest1000 P ndvi500 P und P water P ele),4.37,0.0583,9,379.47,2.43,1
p(start)psi(disturb100 P forest500 P ndvi500 P und P water P ele),4.39,0.0576,9,379.5,4.46,1
p(start)psi(disturb500 P forest100 P ndvi500 P und P water P ele),5.83,0.028,9,380.94,1.5,0
p(start)psi(disturb500 P forest500 P ndvi500 P und P water P ele),5.83,0.028,9,380.94,0,0
p(start)psi(disturb100 P forest100 P ndvi500 P und P water P ele),8.31,0.0081,9,383.42,4.47,1
p(start)psi(disturb100 P forest100 P ndvi100 P und P water P ele),21.88,0,9,396.99,5.66,1
p(start)psi(disturb500 P forest100 P ndvi100 P und P water P ele),21.88,0,9,396.99,0,1
p(start)psi(disturb100 P forest1500 P ndvi100 P und P water P ele),21.88,0,9,396.99,0,1
p(start)psi(disturb500 P forest1500 P ndvi100 P und P water P ele),21.88,0,9,396.99,5.57,0
p(start)psi(disturb100 P forest500 P ndvi100 P und P water P ele),21.88,0,9,396.99,0,1
p(start)psi(disturb500 P forest500 P ndvi100 P und P water P ele),21.88,0,9,396.99,5.13,1
p(start)psi(disturb100 P forest1000 P ndvi100 P und P water P ele),21.88,0,9,396.99,5.92,1
p(start)psi(disturb500 P forest1000 P ndvi100 P und P water P ele),21.88,0,9,396.99,5.48,1
