Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(SURVEY P observer1 P start)psi(),0,0.2848,9,287.3,0,0
p(SURVEY P start)psi(),0.13,0.2669,7,291.73,0,0
p(SURVEY P observer1 P start P cloudCover)psi(),2.09,0.1,10,287.21,0,0
p(SURVEY P start P cloudCover)psi(),2.27,0.0915,8,291.73,0,0
p(observer1 P start)psi(),3.28,0.0552,5,299.12,0,1
p(SURVEY P observer1)psi(),3.74,0.0439,8,293.2,0,0
p(observer1 P start P cloudCover)psi(),4.04,0.0378,6,297.77,5.88,1
p(SURVEY)psi(),4.22,0.0345,6,297.95,0,0
p(SURVEY P observer1 P cloudCover)psi(),4.91,0.0244,9,292.21,0,0
p(start)psi(),5.01,0.0233,3,305,0,0
p(SURVEY P cloudCover)psi(),5.98,0.0143,7,297.58,0,0
p(start P cloudCover)psi(),6.67,0.0101,4,304.59,0,0
p(observer1 P cloudCover)psi(),7.17,0.0079,5,303.01,0,1
p(observer1)psi(),8.67,0.0037,4,306.6,5.94,0
p()psi(),11.13,0.0011,2,313.18,0,0
p(cloudCover)psi(),11.82,8e-04,3,311.81,0,0
