Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p()psi(),0,0.2871,2,175.52,0,0
p(cloudCover)psi(),1.2,0.1574,3,174.67,0,0
p(SURVEY)psi(),1.74,0.1201,6,168.94,0,0
p(start)psi(),1.94,0.1089,3,175.4,0,0
p(start P cloudCover)psi(),3.07,0.0618,4,174.47,0,0
p(SURVEY P cloudCover)psi(),3.07,0.0617,7,168.15,0,0
p(SURVEY P start)psi(),3.56,0.0483,7,168.64,0,0
p(observer1)psi(),3.64,0.0464,4,175.04,0,0
p(SURVEY P start P cloudCover)psi(),4.73,0.027,8,167.66,0,0
p(observer1 P cloudCover)psi(),5.14,0.022,5,174.44,0,0
p(observer1 P start)psi(),5.66,0.017,5,174.97,0,0
p(SURVEY P observer1)psi(),5.69,0.0167,8,168.62,0,0
p(observer1 P start P cloudCover)psi(),7.09,0.0083,6,174.29,0,0
p(SURVEY P observer1 P cloudCover)psi(),7.28,0.0075,9,168.05,0,0
p(SURVEY P observer1 P start)psi(),7.59,0.0065,9,168.36,0,0
p(SURVEY P observer1 P start P cloudCover)psi(),9.01,0.0032,10,167.6,0,0
