Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p()psi(),0,0.4523,2,303.83,0,0
p(start)psi(),1.93,0.1722,3,303.7,5.49,0
p(cloudCover)psi(),1.99,0.167,3,303.77,5.98,0
p(start P cloudCover)psi(),3.9,0.0644,4,303.6,0,0
p(observer1)psi(),4,0.0612,4,303.7,0,1
p(observer1 P start)psi(),5.96,0.023,5,303.57,0,1
p(observer1 P cloudCover)psi(),5.97,0.0229,5,303.58,0,1
p(SURVEY)psi(),7.08,0.0131,6,302.59,5.98,0
p(observer1 P start P cloudCover)psi(),7.88,0.0088,6,303.38,0,1
p(SURVEY P start)psi(),9.01,0.005,7,302.39,0,0
p(SURVEY P cloudCover)psi(),9.07,0.0049,7,302.45,0,0
p(SURVEY P start P cloudCover)psi(),10.93,0.0019,8,302.17,0,0
p(SURVEY P observer1)psi(),11.21,0.0017,8,302.45,5.69,1
p(SURVEY P observer1 P cloudCover)psi(),13.08,7e-04,9,302.16,0,1
p(SURVEY P observer1 P start)psi(),13.17,6e-04,9,302.25,0,1
p(SURVEY P observer1 P start P cloudCover)psi(),14.93,3e-04,10,301.83,0,1
