Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p(observer1 P start P cloudCover)psi(),0,0.4799,6,145.06,4.12,1
p(start P cloudCover)psi(),1.49,0.228,4,150.75,4.68,0
p(start)psi(),2.28,0.1534,3,153.61,5.42,0
p(SURVEY P observer1 P start P cloudCover)psi(),4.5,0.0506,10,140.95,0,1
p(observer1 P start)psi(),4.5,0.0505,5,151.68,4.05,1
p(SURVEY P start P cloudCover)psi(),6.44,0.0191,8,147.24,2.41,0
p(SURVEY P start)psi(),7.01,0.0144,7,149.95,5.51,0
p(SURVEY P observer1 P start)psi(),9.81,0.0036,9,148.44,6,1
p(observer1 P cloudCover)psi(),15.06,3e-04,5,162.23,2.6,1
p(cloudCover)psi(),15.88,2e-04,3,167.21,3.1,0
p(SURVEY P observer1 P cloudCover)psi(),17.94,1e-04,9,156.57,0,1
p()psi(),19.4,0,2,172.78,0,0
p(SURVEY P cloudCover)psi(),19.87,0,7,162.81,0,0
p(observer1)psi(),21.12,0,4,170.38,5.36,1
p(SURVEY)psi(),22.59,0,6,167.65,2.07,0
p(SURVEY P observer1)psi(),25.01,0,8,165.81,3.26,1
