Model,DAIC,wgt,npar,neg2ll,warn.conv,warn.VC
p()psi(),0,0.2403,2,92.3,5.29,0
p(start)psi(),0.32,0.2043,3,90.58,1.53,0
p(start P cloudCover)psi(),1.44,0.1168,4,89.63,4.59,0
p(cloudCover)psi(),1.63,0.1066,3,91.88,5.48,0
p(SURVEY P start)psi(),2.95,0.0549,7,84.81,3.22,0
p(SURVEY)psi(),2.96,0.0547,6,86.95,1.96,1
p(observer1)psi(),3.45,0.0428,4,91.63,4.17,1
p(observer1 P start)psi(),3.73,0.0373,5,89.82,3.19,1
p(SURVEY P start P cloudCover)psi(),3.9,0.0342,8,83.62,5.34,1
p(SURVEY P cloudCover)psi(),4.5,0.0253,7,86.36,3.61,1
p(observer1 P start P cloudCover)psi(),4.58,0.0243,6,88.57,0,1
p(observer1 P cloudCover)psi(),4.73,0.0226,5,90.82,5.84,1
p(SURVEY P observer1 P start)psi(),6.41,0.0098,9,83.96,5.02,1
p(SURVEY P observer1 P start P cloudCover)psi(),6.43,0.0097,10,81.8,5.72,1
p(SURVEY P observer1)psi(),6.46,0.0095,8,86.18,3.8,1
p(SURVEY P observer1 P cloudCover)psi(),7.11,0.0069,9,84.67,0,1
